student_id,gender,branch,cgpa,attendance,internships,coding_score,communication_score,placed,salary_lpa
51,Male,CSE,8.2,53.8,1,62.0,31.0,No,0.0
52,Male,EEE,7.6,61.8,2,100.0,58.0,Yes,7.42
53,Male,CE,5.5,88.5,3,84.0,64.0,Yes,5.1
54,Female,CSE,6.6,75.1,2,75.0,55.0,Yes,5.1
55,Male,CE,7.9,63.8,1,57.0,55.0,No,0.0
56,Female,ECE,8.4,75.7,1,85.0,60.86363636363637,Yes,7.82
57,Male,EEE,8.6,85.6,0,38.0,73.0,Yes,5.71
58,Female,ECE,7.0,61.2,2,74.0,71.0,Yes,8.45
59,Male,IT,7.2,62.0,0,75.0,43.0,Yes,5.83
60,Male,ME,6.2,80.0,0,52.0,51.0,Yes,4.12
61,Male,CSE,6.2,94.6,0,65.0,67.0,Yes,5.39
62,Female,ME,7.1,72.8,2,63.0,68.0,Yes,6.31
63,Male,ECE,4.9,91.4,0,61.0,72.0,No,0.0
64,Male,ECE,6.2,73.7,1,55.0,47.0,Yes,4.24
65,Male,CSE,6.6,64.2,0,68.0,73.0,No,0.0
66,Male,ME,7.3,66.4,1,63.0,83.0,Yes,4.83
67,Male,ECE,5.8,61.0,0,73.0,53.0,Yes,3.82
68,Male,CSE,7.2,66.7,1,75.0,58.0,No,0.0
69,Male,ME,7.7,65.2,2,100.0,84.0,Yes,7.23
70,Male,IT,7.8,58.7,0,65.0,37.0,No,0.0
71,Male,CSE,8.0,68.5,0,69.11764705882354,50.0,No,0.0
72,Male,ME,8.0,75.7,0,53.0,62.0,Yes,5.7
73,Female,CSE,8.4,77.5,0,56.0,68.0,Yes,6.33
74,Male,EEE,6.8,83.7,0,60.0,56.0,No,0.0
75,Male,IT,8.5,75.2,0,90.0,56.0,Yes,0.0
76,Male,CE,5.7,86.4,0,72.0,78.0,No,0.0
77,Female,ME,6.7,66.5,0,87.0,66.0,No,0.0
78,Female,IT,6.9,75.7,2,68.0,51.0,No,0.0
79,Male,EEE,7.5,93.8,0,49.0,52.0,No,0.0
80,Male,ECE,7.8,74.4,0,67.0,60.86363636363637,No,0.0
81,Female,CSE,7.3,82.3,1,73.0,66.0,Yes,7.71
82,Female,IT,8.6,65.1,3,78.0,98.0,Yes,9.12
83,Male,CSE,6.2,58.5,1,66.0,69.0,Yes,4.9
84,Male,CSE,8.9,72.5,1,65.0,72.0,Yes,7.17
85,Male,ECE,6.9,63.9,0,65.0,62.0,No,0.0
86,Female,CSE,7.4,73.6,0,100.0,43.0,Yes,5.92
87,Male,ECE,8.7,87.5,0,69.72093023255815,64.0,No,0.0
88,Male,IT,7.0,63.9,0,91.0,59.24390243902439,No,0.0
89,Male,CSE,6.4,82.2,0,48.0,61.0,Yes,4.2
90,Male,EEE,7.0,71.3,1,73.0,63.0,Yes,5.06
91,Female,CSE,7.8,78.3,1,51.0,41.0,Yes,5.52
92,Male,ECE,5.9,92.5,1,43.0,51.0,No,0.0
93,Male,ME,7.2,86.0,2,69.0,80.0,Yes,6.95
94,Male,ECE,5.5,76.7,3,77.0,40.0,Yes,6.31
95,Female,CSE,7.4,65.2,0,95.0,70.0,No,0.0
96,Male,CSE,7.5,84.8,1,54.0,67.0,No,0.0
97,Male,IT,6.6,75.3,0,59.0,62.0,No,0.0
98,Male,CSE,6.3,61.5,1,78.0,33.0,Yes,5.88
99,Male,EEE,7.4,69.2,1,71.0,34.0,No,0.0
100,Male,CSE,8.2,74.7,1,69.11764705882354,36.0,No,0.0
101,Female,ME,6.8,81.2,0,41.0,40.0,No,0.0
102,Female,ME,7.0,75.7,1,86.0,53.0,Yes,6.7
103,Female,CSE,7.6,77.1,0,77.0,62.0,Yes,4.965
104,Female,CE,8.2,74.6,2,70.41666666666667,53.0,Yes,8.61
105,Male,CSE,6.8,71.9,0,49.0,79.0,No,0.0
106,Male,CSE,8.6,77.0,0,78.0,59.61165048543689,No,0.0
107,Male,CSE,7.3,85.7,2,93.0,49.0,Yes,9.12
108,Female,ME,6.8,70.5,1,91.0,46.0,Yes,6.83
109,Male,IT,6.2,67.3,0,35.0,41.0,No,0.0
110,Female,CSE,7.3,75.7,2,100.0,50.0,Yes,8.28
111,Male,ECE,7.7,68.6,0,57.0,68.0,Yes,4.99
112,Female,CSE,8.6,75.7,1,75.0,54.0,Yes,7.46
113,Male,ECE,5.7,68.9,2,69.0,68.0,Yes,6.39
114,Male,CSE,5.8,67.7,1,57.0,59.61165048543689,Yes,4.965
115,Male,ME,7.4,95.0,2,67.0,79.0,Yes,5.97
116,Female,CSE,7.8,86.1,2,81.0,70.0,No,0.0
117,Female,EEE,8.6,81.5,0,59.0,47.0,No,0.0
118,Female,CSE,7.2,87.8,0,77.0,37.0,No,0.0
119,Male,ECE,7.8,95.0,2,78.0,53.0,Yes,7.36
120,Female,ECE,7.5,70.5,0,67.0,54.0,No,0.0
121,Male,IT,7.4,75.7,2,80.0,59.24390243902439,Yes,5.47
122,Male,EEE,5.8,53.0,0,74.0,74.0,Yes,4.48
123,Male,EEE,6.6,81.5,1,68.0,41.0,Yes,6.9
124,Male,CE,7.0,78.5,0,66.0,56.0,Yes,5.02
125,Male,CE,8.3,78.4,2,81.0,66.0,Yes,8.36
126,Male,CSE,7.4,82.1,2,59.0,59.0,Yes,6.16
127,Male,CSE,9.0,76.3,0,54.0,50.0,Yes,7.28
128,Male,CSE,6.8,50.8,1,85.0,43.0,No,0.0
129,Male,ME,6.2,74.5,0,100.0,59.0,No,0.0
130,Male,ECE,7.4,54.6,0,60.0,58.0,Yes,0.0
131,Female,ECE,6.9,69.3,0,73.0,64.0,No,0.0
132,Female,CSE,6.4,75.6,1,60.0,65.0,No,0.0
133,Female,IT,7.9,75.7,1,72.0,66.0,No,0.0
134,Male,CSE,9.4,68.5,2,67.0,44.0,Yes,4.965
135,Male,EEE,8.9,79.4,0,48.0,68.0,No,0.0
136,Male,CSE,6.9,58.3,2,88.0,73.0,Yes,5.93
137,Male,CE,5.7,77.2,1,85.0,58.0,No,0.0
138,Male,CE,9.0,75.7,2,51.0,67.0,Yes,6.8
139,Male,EEE,7.7,77.6,0,63.0,55.0,No,0.0
140,Female,CSE,8.0,46.5,0,47.0,64.0,No,0.0
141,Male,CE,5.9,86.6,2,51.0,55.0,Yes,5.41
142,Female,IT,5.9,59.4,1,63.0,47.0,Yes,5.31
143,Female,CSE,6.9,95.0,2,80.0,79.0,No,0.0
144,Male,CSE,7.1,74.6,1,68.0,44.0,No,0.0
145,Male,IT,8.1,78.5,1,38.0,100.0,No,0.0
146,Male,CSE,8.3,64.6,0,69.0,50.0,Yes,6.08
147,Female,EEE,7.4,76.5,1,75.0,54.7037037037037,Yes,6.58
148,Female,CSE,8.3,75.7,0,48.0,84.0,No,0.0
149,Female,CSE,7.3,78.3,2,80.0,81.0,Yes,6.72
150,Female,IT,8.2,81.0,2,85.0,79.0,Yes,7.62
151,Male,ECE,6.1,60.6,0,51.0,83.0,No,0.0
152,Male,CSE,8.8,85.1,1,36.0,49.0,No,0.0
153,Male,ECE,7.0,58.5,1,100.0,70.0,No,0.0
154,Female,ME,8.0,77.8,0,62.0,68.0,Yes,4.45
155,Male,CSE,7.1,76.8,0,85.0,82.0,Yes,4.965
156,Male,IT,7.8,65.3,0,92.0,59.24390243902439,Yes,4.97
157,Male,CE,7.6,77.2,0,85.0,67.0,No,0.0
158,Female,ME,7.3,68.0,1,60.0,77.0,No,0.0
159,Male,IT,6.9,67.8,2,88.0,87.0,Yes,6.22
160,Male,ECE,6.0,78.1,1,64.0,66.0,Yes,5.02
161,Male,ECE,7.0,69.4,1,49.0,64.0,Yes,5.52
162,Male,EEE,8.9,69.5,1,74.0,51.0,Yes,7.18
163,Female,CSE,7.0,69.2,0,49.0,51.0,No,0.0
164,Female,CSE,7.0,77.3,2,51.0,66.0,Yes,7.91
165,Female,IT,8.9,75.7,1,71.0,49.0,No,0.0
166,Female,CSE,7.3,60.9,0,69.11764705882354,55.0,Yes,6.73
167,Male,CE,7.8,64.1,3,75.0,61.0,Yes,8.67
168,Male,ECE,7.4,71.9,0,72.0,68.0,No,0.0
169,Male,CSE,6.4,61.7,0,66.0,70.0,Yes,3.77
170,Male,ECE,5.0,74.9,3,92.0,54.0,No,0.0
171,Female,CSE,7.7,84.2,2,70.0,68.0,Yes,4.965
172,Male,CSE,7.7,66.0,0,65.0,62.0,No,0.0
173,Female,CSE,7.2,83.2,1,60.0,67.0,Yes,4.98
174,Male,IT,6.9,75.6,3,87.0,32.0,Yes,7.03
175,Male,IT,6.0,81.0,1,55.0,66.0,Yes,4.62
176,Female,CSE,7.3,76.5,3,74.0,51.0,Yes,8.4
177,Male,IT,6.8,76.7,1,46.0,73.0,No,0.0
178,Male,ECE,5.8,72.8,0,83.0,55.0,No,0.0
179,Male,ME,6.6,49.1,0,77.0,48.0,Yes,3.85
180,Male,CSE,7.4,74.8,0,73.0,30.0,No,0.0
181,Male,CSE,9.3,70.6,1,69.11764705882354,25.0,Yes,7.07
182,Female,IT,6.5,85.4,1,46.0,53.0,No,0.0
183,Female,CSE,7.3,68.9,1,74.0,71.0,Yes,4.965
184,Female,CSE,6.4,75.7,0,67.0,63.0,Yes,4.34
185,Male,CSE,5.8,65.3,0,75.0,77.0,Yes,5.33
186,Male,CSE,7.9,85.0,1,58.0,41.0,Yes,5.99
187,Female,ECE,7.7,95.0,0,86.0,60.86363636363637,No,0.0
188,Female,ME,6.8,66.6,2,66.0,40.0,Yes,8.04
189,Male,CE,6.1,75.7,2,70.0,39.0,No,0.0
190,Female,ME,8.1,73.3,2,79.0,78.0,Yes,7.56
191,Female,ME,7.4,62.0,3,78.0,58.0,Yes,7.34
192,Female,ECE,7.8,78.1,1,95.0,31.0,Yes,0.0
193,Female,EEE,8.5,81.7,0,63.0,59.0,Yes,6.04
194,Male,ME,6.4,91.7,1,75.0,52.0,No,0.0
195,Male,ECE,6.1,67.2,3,69.72093023255815,38.0,Yes,6.07
196,Female,IT,8.9,71.0,2,66.93181818181819,81.0,Yes,6.5
197,Male,ME,7.1,69.5,1,100.0,61.0,Yes,7.12
198,Male,ECE,8.2,80.9,0,64.0,79.0,Yes,5.92
199,Female,ME,6.8,75.7,1,92.0,53.0,Yes,5.43
200,Male,CSE,8.7,81.3,3,82.0,68.0,Yes,9.88
201,Male,CSE,7.8,71.3,1,86.0,41.0,Yes,4.965
202,Male,IT,7.3,57.3,0,80.0,57.0,No,0.0
203,Female,CSE,6.0,46.3,0,68.0,54.0,No,0.0
204,Female,IT,7.2,79.7,1,75.0,51.0,No,0.0
205,Male,CE,7.1,75.7,0,70.0,56.0,Yes,6.01
206,Female,IT,6.4,74.8,0,53.0,61.0,No,0.0
207,Female,IT,6.1,75.7,2,82.0,58.0,Yes,5.61
208,Female,EEE,8.0,62.5,0,45.0,54.7037037037037,No,0.0
209,Male,ECE,6.5,66.9,2,90.0,99.0,Yes,6.92
210,Female,CSE,7.9,75.7,1,71.0,41.0,No,0.0
211,Female,ME,7.1,51.4,1,54.0,59.51282051282051,No,0.0
212,Male,ME,7.1,68.5,0,53.0,77.0,No,0.0
213,Female,CSE,6.4,72.1,3,56.0,59.0,No,0.0
214,Male,ECE,6.5,78.0,2,63.0,79.0,No,0.0
215,Male,CSE,6.6,84.2,1,59.0,77.0,Yes,5.81
216,Male,CE,7.7,66.5,2,87.0,53.0,No,0.0
217,Female,CSE,6.9,71.0,0,69.0,71.0,Yes,6.73
218,Female,CSE,6.1,75.2,3,100.0,63.0,Yes,7.17
219,Male,ECE,7.0,84.9,0,69.72093023255815,55.0,No,0.0
220,Female,EEE,7.4,71.5,0,69.0,64.0,No,0.0
221,Male,EEE,8.5,73.8,1,68.0,26.0,No,0.0
222,Male,IT,7.2,80.5,0,56.0,53.0,Yes,7.04
223,Male,EEE,6.9,85.0,1,63.0,60.0,Yes,5.77
224,Male,EEE,6.7,77.0,0,58.0,67.0,No,0.0
225,Male,CSE,7.3,94.4,0,80.0,40.0,No,0.0
226,Female,ME,7.8,86.1,0,69.0,69.0,No,0.0
227,Male,CSE,7.3,73.8,1,73.0,59.0,Yes,6.58
228,Female,EEE,7.1,82.1,0,58.0,62.0,No,0.0
229,Female,CSE,7.5,65.6,2,91.0,69.0,Yes,7.13
230,Male,EEE,7.0,71.5,0,36.0,55.0,No,0.0
231,Male,CSE,8.2,92.1,2,86.0,50.0,Yes,7.9
232,Female,CSE,8.4,65.7,0,68.0,63.0,No,0.0
233,Male,ME,7.8,48.0,0,75.0,59.51282051282051,No,0.0
234,Male,ME,7.1,91.1,1,89.0,44.0,Yes,6.79
235,Male,CSE,9.4,73.2,3,100.0,69.0,Yes,9.3
236,Male,CSE,7.4,68.9,0,64.0,56.0,Yes,3.74
237,Male,ECE,7.3,60.4,0,81.0,51.0,No,0.0
238,Male,ECE,7.0,81.7,0,69.72093023255815,64.0,No,0.0
239,Female,ECE,9.1,74.4,3,69.72093023255815,50.0,Yes,0.0
240,Female,CE,5.6,59.2,2,88.0,62.0,No,0.0
241,Male,CSE,6.6,53.5,0,54.0,59.61165048543689,Yes,4.16
242,Male,CSE,7.4,79.4,1,87.0,33.0,Yes,7.1
243,Female,ECE,7.4,68.9,2,80.0,60.0,Yes,6.55
244,Male,CSE,7.1,56.2,1,69.11764705882354,70.0,No,0.0
245,Female,EEE,6.6,75.7,1,55.0,43.0,No,0.0
246,Female,IT,7.5,77.6,2,47.0,49.0,Yes,7.58
247,Female,EEE,5.5,64.1,1,63.0,45.0,Yes,4.25
248,Male,ECE,6.6,72.9,1,86.0,42.0,No,0.0
249,Male,IT,7.2,75.7,1,69.0,42.0,Yes,6.45
250,Male,IT,7.2,74.1,0,59.0,32.0,No,0.0
251,Female,CSE,6.8,82.0,1,64.0,36.0,Yes,4.47
252,Male,ECE,8.9,95.0,2,71.0,78.0,Yes,7.53
253,Male,CSE,6.6,55.2,1,81.0,57.0,No,0.0
254,Male,IT,6.1,86.0,1,99.0,53.0,Yes,4.73
255,Male,IT,7.4,79.7,1,64.0,64.0,No,0.0
256,Female,CSE,7.6,74.7,1,73.0,75.0,Yes,5.7
257,Male,ME,6.6,53.6,1,100.0,77.0,No,0.0
258,Female,ECE,6.9,73.0,2,72.0,77.0,No,0.0
259,Female,CSE,7.0,75.7,1,25.0,89.0,No,0.0
260,Male,EEE,7.0,65.3,2,54.0,46.0,No,0.0
261,Female,CSE,6.5,84.5,0,72.0,67.0,Yes,5.43
262,Female,ME,8.4,82.1,2,63.0,63.0,Yes,7.44
263,Male,IT,6.5,67.1,2,70.0,60.0,Yes,6.65
264,Male,CSE,7.9,84.4,0,62.0,49.0,Yes,5.11
265,Female,ME,6.3,83.3,0,73.25641025641026,36.0,No,0.0
266,Male,CE,7.1,88.6,0,45.0,60.0,No,0.0
267,Male,ECE,7.0,77.1,0,57.0,72.0,No,0.0
268,Male,ECE,7.8,78.9,0,57.0,32.0,Yes,5.53
269,Male,ECE,6.4,86.2,0,55.0,60.0,No,0.0
270,Male,EEE,8.0,66.3,0,60.0,54.7037037037037,Yes,5.44
271,Female,ME,8.1,83.5,0,62.0,59.51282051282051,Yes,7.48
272,Female,ECE,8.2,75.7,3,64.0,75.0,Yes,8.61
273,Male,CSE,8.4,75.0,1,79.0,38.0,Yes,7.03
274,Male,IT,6.8,89.5,2,66.93181818181819,67.0,Yes,7.21
275,Female,CSE,7.1,59.5,0,77.0,79.0,Yes,6.08
276,Male,ECE,6.3,81.4,2,61.0,38.0,Yes,5.89
277,Female,CSE,6.2,72.7,1,55.0,71.0,No,0.0
278,Male,CSE,4.8,75.2,1,78.0,75.0,No,0.0
279,Female,ECE,6.5,81.7,0,73.0,60.86363636363637,No,0.0
280,Male,IT,6.5,76.6,2,75.0,59.24390243902439,Yes,6.81
281,Male,IT,7.1,58.6,1,59.0,59.0,No,0.0
282,Female,CE,7.2,77.3,3,76.0,50.0,Yes,7.3
283,Female,ECE,6.9,63.9,2,78.0,40.0,Yes,7.93
284,Male,CSE,7.0,79.7,1,74.0,69.0,Yes,5.29
285,Female,CSE,9.3,58.9,1,72.0,52.0,Yes,7.95
286,Male,ME,5.0,90.3,0,61.0,41.0,No,0.0
287,Female,CSE,6.8,80.9,3,80.0,64.0,Yes,8.94
288,Male,CSE,5.8,79.3,2,75.0,59.61165048543689,No,0.0
289,Male,CSE,6.0,65.4,1,77.0,59.0,Yes,6.46
290,Male,CSE,7.3,81.0,0,72.0,70.0,Yes,4.05
291,Female,IT,7.1,71.4,0,55.0,39.0,No,0.0
292,Female,CE,5.6,56.3,2,90.0,66.0,Yes,4.62
293,Male,EEE,7.2,65.5,0,68.0,57.0,Yes,5.41
294,Male,IT,7.8,91.2,0,66.0,59.24390243902439,No,0.0
295,Male,ME,6.9,73.7,1,92.0,66.0,Yes,5.21
296,Female,IT,4.6,75.7,2,67.0,74.0,No,0.0
297,Female,ME,5.4,78.2,1,80.0,21.0,Yes,3.97
298,Male,CSE,6.1,81.8,1,52.0,56.0,Yes,4.965
299,Female,IT,6.7,79.6,0,66.93181818181819,34.0,No,0.0
300,Male,CSE,6.4,80.2,2,83.0,61.0,Yes,6.88
